Pais,Año,PIB,Pobreza,Tasa de empleo,Mortalidad,Alfabetizacion,Años de estudio
Dominica,2013,7964.0,64.0,-6.45,37.1,88.3,8.4
Dominica,2014,8271.0,64.0,21.05,36.3,88.3,8.4
Dominica,2015,7976.0,64.0,-5.6,33.9,88.3,8.4
Dominica,2016,8185.0,64.0,2.56,30.4,88.3,8.4
Dominica,2017,7610.0,64.0,2.66,35.0,88.3,8.4
Dominica,2018,7836.0,64.0,2.74,12.1,88.3,8.4
Dominica,2019,8197.0,64.0,4.57,12.0,88.3,8.4
Dominica,2020,6779.0,64.0,1.39,11.8,88.3,8.4
Ecuador,1990,4422.0,64.0,-1.45,42.5,88.3,8.4
Ecuador,1991,4509.0,64.0,-2.0,40.8,91.0,8.4
Ecuador,1992,4509.0,64.0,-3.18,38.8,91.0,8.4
Ecuador,1993,4507.0,64.0,-3.75,36.9,91.0,8.4
Ecuador,1994,4610.0,64.0,-3.9,34.8,91.0,8.4
Ecuador,1995,4627.0,64.0,-3.9,32.9,91.0,8.4
Ecuador,1996,4622.0,64.0,-3.9,30.9,91.0,8.4
Ecuador,1997,4736.0,64.0,-3.93,29.1,91.0,8.4
Ecuador,1998,4806.0,64.0,-3.93,27.4,91.0,8.4
Ecuador,1999,4500.0,64.0,-3.73,25.7,91.0,8.4
Ecuador,2000,4472.0,64.0,-3.31,24.4,91.0,8.4
Ecuador,2001,4572.0,64.0,-2.72,23.2,91.0,8.4
Ecuador,2002,4677.0,64.0,-2.15,22.1,92.1,8.6
Ecuador,2003,4721.0,64.0,-1.7,21.1,92.1,8.6
Ecuador,2004,5021.0,67.0,-1.54,20.3,92.1,8.7
Ecuador,2005,5196.0,67.0,-1.22,19.5,92.1,8.7
Ecuador,2006,5332.0,68.3,-0.9,18.8,92.1,8.8
Ecuador,2007,5356.0,67.4,-0.68,18.1,92.1,8.9
Ecuador,2008,5601.0,65.1,-0.6,17.4,92.4,9.0
Ecuador,2009,5538.0,64.2,-0.58,16.7,92.2,9.0
Ecuador,2010,5639.0,63.1,-0.56,16.0,91.9,9.2
Ecuador,2011,5984.0,63.4,-0.53,15.3,91.6,9.3
Ecuador,2012,6221.0,63.1,-0.51,14.6,92.1,9.5
Ecuador,2013,6429.0,62.8,-0.39,14.0,93.3,9.6
Ecuador,2014,6575.0,64.6,0.14,13.5,94.2,9.5
Ecuador,2015,6485.0,65.2,0.91,13.0,94.5,9.8
Ecuador,2016,6310.0,66.4,1.65,12.6,94.4,9.8
Ecuador,2017,6360.0,67.5,2.96,12.2,92.8,9.8
Ecuador,2018,6321.0,66.6,9.05,11.8,93.6,9.7
Ecuador,2019,6203.0,66.2,4.15,11.4,93.6,9.8
Ecuador,2020,5640.0,64.8,2.04,11.0,93.6,9.9
El Caribe,1990,7149.0,58.8,-7.14,24.1,74.1,6.7
El Caribe,1991,7119.0,58.8,-5.41,23.5,74.1,6.7
El Caribe,1992,7040.0,58.8,-5.14,22.8,74.1,6.7
El Caribe,1993,7043.0,58.8,-5.36,21.9,74.1,6.7
El Caribe,1994,7174.0,58.8,-4.82,21.2,74.1,6.7
El Caribe,1995,7329.0,58.8,-4.3,20.5,74.1,6.7
El Caribe,1996,7510.0,58.8,-4.18,19.8,74.1,6.7
El Caribe,1997,7695.0,58.8,-4.19,19.2,74.1,6.7
El Caribe,1998,7890.0,58.8,-4.07,18.8,74.1,6.7
El Caribe,1999,8153.0,58.8,-4.58,18.3,74.1,6.7
El Caribe,2000,8392.0,58.8,-6.16,17.7,74.1,6.7
El Caribe,2001,8504.0,58.8,-6.37,17.4,74.1,6.7
El Caribe,2002,8726.0,58.8,-6.05,16.9,74.1,6.7
El Caribe,2003,9162.0,58.8,-6.35,16.6,74.1,6.7
El Caribe,2004,9430.0,58.8,-6.85,16.3,74.1,6.7
El Caribe,2005,9722.0,58.8,-6.91,16.0,74.1,6.7
El Caribe,2006,10365.0,58.8,-5.52,15.7,74.1,6.7
El Caribe,2007,10648.0,58.8,-5.51,15.4,74.1,6.7
El Caribe,2008,10716.0,58.8,-5.36,15.2,74.1,6.7
El Caribe,2009,10266.0,58.8,-5.15,14.9,74.1,6.7
El Caribe,2010,10332.0,58.8,-5.53,14.6,74.1,6.7
El Caribe,2011,10371.0,58.8,-5.77,14.4,74.1,6.7
El Caribe,2012,10445.0,58.8,-5.25,14.1,74.1,6.7
El Caribe,2013,10524.0,58.8,-5.94,14.0,74.1,6.7
El Caribe,2014,10684.0,58.8,-6.63,13.7,74.1,6.7
El Caribe,2015,10655.0,58.8,-6.99,13.4,74.1,6.7
El Caribe,2016,10405.0,58.8,-6.94,13.1,74.1,6.7
El Caribe,2017,10293.0,58.8,-6.45,13.2,74.1,6.7
El Caribe,2018,10340.0,58.8,5.1,12.8,74.1,6.7
El Caribe,2019,10354.0,58.8,-6.38,12.8,74.1,6.7
El Caribe,2020,9373.0,58.8,-0.22,12.7,74.1,6.7
El Salvador,1990,2442.0,58.8,-7.37,53.5,74.1,6.7
El Salvador,1991,2435.0,58.8,-9.23,48.7,74.1,6.7
El Salvador,1992,2564.0,58.8,-8.65,44.2,74.1,6.7
El Salvador,1993,2675.0,58.8,-13.44,40.2,83.6,6.7
El Salvador,1994,2770.0,58.8,-14.31,36.7,83.6,6.7
El Salvador,1995,2873.0,58.8,-15.41,36.0,83.6,6.7
El Salvador,1996,2872.0,58.8,-15.78,34.0,83.6,6.7
El Salvador,1997,2939.0,58.8,-15.8,32.1,83.6,6.7
El Salvador,1998,2995.0,58.8,-16.35,30.6,83.6,6.7
El Salvador,1999,3040.0,58.8,-16.45,28.7,83.6,6.7
El Salvador,2000,3056.0,58.8,-16.17,27.1,83.6,6.7
El Salvador,2001,3068.0,59.2,-15.46,26.1,83.6,6.9
El Salvador,2002,3104.0,58.2,-15.19,24.4,83.6,7.1
El Salvador,2003,3145.0,60.0,-15.1,23.3,83.6,7.1
El Salvador,2004,3168.0,58.9,-14.67,22.0,83.6,7.2
El Salvador,2005,3252.0,58.7,-14.96,21.0,83.6,7.4
El Salvador,2006,3395.0,59.8,-14.79,19.8,83.6,7.5
El Salvador,2007,3452.0,60.6,-9.36,18.9,82.0,7.5
El Salvador,2008,3512.0,60.0,-9.2,18.0,84.0,7.5
El Salvador,2009,3425.0,60.0,-9.14,17.3,84.1,7.5
El Salvador,2010,3486.0,60.1,-8.9,16.3,84.5,7.8
El Salvador,2011,3604.0,61.4,-8.67,15.6,85.5,7.9
El Salvador,2012,3693.0,61.4,-8.17,14.8,86.8,8.1
El Salvador,2013,3759.0,62.0,-7.9,14.2,88.0,8.1
El Salvador,2014,3810.0,60.7,-7.88,13.6,88.1,8.1
El Salvador,2015,3887.0,60.2,-8.2,13.1,88.5,8.1
El Salvador,2016,3974.0,60.4,-7.57,12.6,89.0,8.5
El Salvador,2017,4054.0,60.5,-8.05,12.2,89.1,8.5
El Salvador,2018,4146.0,60.5,-8.59,11.7,90.0,8.7
El Salvador,2019,4241.0,61.7,-8.74,11.3,64.2,4.7
El Salvador,2020,3902.0,60.8,-4.0,11.0,64.2,4.7
Granada,1990,5331.0,65.9,-19.98,18.1,64.2,4.7
Granada,1991,5362.0,65.9,-6.97,17.2,64.2,4.7
Granada,1992,5253.0,65.9,-7.07,16.4,64.2,4.7
Granada,1993,5090.0,65.9,-6.74,15.6,64.2,4.7
Granada,1994,5126.0,65.9,-7.24,15.0,64.2,4.7
Granada,1995,5189.0,65.9,-7.74,14.4,64.2,4.7
Granada,1996,5384.0,65.9,-8.28,13.9,64.2,4.7
Granada,1997,5616.0,65.9,-8.63,13.5,64.2,4.7
Granada,1998,6235.0,65.9,-6.35,13.2,64.2,4.7
Granada,1999,6627.0,65.9,-5.44,12.9,64.2,4.7
Granada,2000,6913.0,65.9,-5.44,12.7,64.2,4.7
Granada,2001,6741.0,65.9,-6.8,12.5,64.2,4.7
Granada,2002,6954.0,65.9,-8.5,12.3,64.2,4.7
Granada,2003,7577.0,65.9,-2.25,12.2,64.2,4.7
Granada,2004,7473.0,65.9,-2.79,13.5,64.2,4.7
Granada,2005,8403.0,65.9,-3.34,12.0,64.2,4.7
Granada,2006,8017.0,65.9,-3.75,12.0,64.2,4.7
Granada,2007,8454.0,65.9,-3.99,12.0,64.2,4.7
Granada,2008,8474.0,65.9,-4.04,12.1,64.2,4.7
Granada,2009,7864.0,65.9,-4.04,12.2,64.2,4.7
Granada,2010,7769.0,65.9,-3.96,12.4,64.2,4.7
Granada,2011,7767.0,65.9,-2.54,12.5,64.2,4.7
Granada,2012,7612.0,65.9,-1.76,12.7,64.2,4.7
Granada,2013,7724.0,65.9,-1.62,12.9,64.2,4.7
Granada,2014,8214.0,65.9,-1.61,13.1,64.2,4.7
Granada,2015,8670.0,65.9,-1.6,13.3,64.2,4.7
Granada,2016,8919.0,65.9,-1.58,13.4,64.2,4.7
Granada,2017,9245.0,65.9,-1.57,13.6,64.2,4.7
Granada,2018,9577.0,65.9,-1.56,13.6,64.2,4.7
Granada,2019,9571.0,65.9,-1.55,13.5,64.2,4.7
Granada,2020,8188.0,65.9,0.0,13.4,64.2,4.7
Guatemala,1990,2914.0,65.9,-3.34,60.6,64.2,4.7
Guatemala,1991,2941.0,65.9,-4.37,58.1,64.2,4.7
Guatemala,1992,3004.0,65.9,-3.78,55.8,64.2,4.7
Guatemala,1993,3041.0,65.9,-3.74,53.6,64.2,4.7
Guatemala,1994,3081.0,65.9,-3.31,51.5,64.2,4.7
Guatemala,1995,3150.0,65.9,-3.84,49.5,69.1,4.7
Guatemala,1996,3161.0,65.9,-4.08,47.6,69.1,4.7
Guatemala,1997,3217.0,65.9,-3.97,45.8,69.1,4.7
Guatemala,1998,3293.0,65.9,-3.93,44.3,69.1,4.7
Guatemala,1999,3336.0,65.9,-4.33,42.5,69.1,4.7
Guatemala,2000,3377.0,65.9,-5.62,41.0,69.1,4.7
Guatemala,2001,3377.0,66.7,-4.92,39.5,69.1,5.4
Guatemala,2002,3440.0,66.7,-4.48,38.0,69.1,5.4
Guatemala,2003,3451.0,66.7,-4.34,36.7,78.3,5.4
Guatemala,2004,3475.0,66.7,-3.68,35.3,78.3,5.4
Guatemala,2005,3505.0,66.7,-3.77,34.5,78.3,5.4
Guatemala,2006,3624.0,66.7,-3.13,32.8,78.3,5.4
Guatemala,2007,3763.0,62.6,-2.96,31.7,78.3,6.1
Guatemala,2008,3822.0,62.6,-3.04,30.5,78.3,6.1
Guatemala,2009,3771.0,62.6,-3.01,29.3,78.3,6.1
Guatemala,2010,3801.0,62.6,-2.48,28.3,78.3,6.1
Guatemala,2011,3892.0,62.6,-2.24,27.2,78.3,6.1
Guatemala,2012,3936.0,62.6,-2.15,26.1,78.3,6.1
Guatemala,2013,3996.0,62.6,-2.31,25.1,77.0,6.1
Guatemala,2014,4096.0,62.6,-2.57,24.2,81.3,6.1
Guatemala,2015,4187.0,61.6,-3.0,23.3,80.8,5.8
Guatemala,2016,4223.0,61.6,-2.41,22.5,80.8,5.8
Guatemala,2017,4277.0,61.6,-2.89,21.7,80.8,5.8
Guatemala,2018,4352.0,61.6,-3.37,21.0,80.8,5.8
Guatemala,2019,4459.0,61.6,-3.39,20.3,83.3,5.8
Guatemala,2020,4314.0,61.6,-1.33,19.6,83.3,5.8
Guyana,1990,2375.0,61.6,-28.54,46.7,85.0,5.8
Guyana,1991,2527.0,61.6,-20.64,45.6,85.0,5.8
Guyana,1992,2720.0,61.6,-17.91,44.5,85.0,5.8
Guyana,1993,2935.0,61.6,-17.35,43.4,85.0,5.8
Guyana,1994,3188.0,61.6,-17.45,42.3,85.0,5.8
Guyana,1995,3324.0,61.6,-17.46,41.2,85.0,5.8
Guyana,1996,3577.0,61.6,-17.46,40.3,85.0,5.8
Guyana,1997,3793.0,61.6,-17.43,39.3,85.0,5.8
Guyana,1998,3735.0,61.6,-17.36,38.4,85.0,5.8
Guyana,1999,3825.0,61.6,-17.28,37.5,85.0,5.8
Guyana,2000,3792.0,61.6,-17.21,36.7,85.0,5.8
Guyana,2001,3850.0,61.6,-17.05,35.8,85.0,5.8
Guyana,2002,3891.0,61.6,-16.64,35.1,85.0,5.8
Guyana,2003,3865.0,61.6,-16.33,34.3,85.0,5.8
Guyana,2004,3927.0,61.6,-16.51,33.7,85.0,5.8
Guyana,2005,3853.0,61.6,-16.97,33.5,85.0,5.8
Guyana,2006,4058.0,61.6,-17.42,32.4,85.0,5.8
Guyana,2007,4361.0,61.6,-17.86,31.8,85.0,5.8
Guyana,2008,4451.0,61.6,-18.25,31.3,85.0,5.8
Guyana,2009,4629.0,61.6,-18.64,30.6,85.0,5.8
Guyana,2010,4843.0,61.6,-18.98,30.1,85.6,5.8
Guyana,2011,5120.0,61.6,-19.31,29.5,85.6,5.8
Guyana,2012,5392.0,61.6,-9.57,28.9,85.6,5.8
Guyana,2013,5563.0,61.6,-9.2,28.3,85.6,5.8
Guyana,2014,5629.0,61.6,-8.9,27.6,85.6,5.8
Guyana,2015,5638.0,61.6,-8.6,26.9,88.8,5.8
Guyana,2016,5822.0,61.6,-8.28,26.1,88.8,5.8
Guyana,2017,6006.0,61.6,-7.97,25.4,88.8,5.8
Guyana,2018,6095.0,61.6,39.04,24.7,88.8,5.8
Guyana,2019,6314.0,61.6,-30.42,24.0,88.8,5.8
Guyana,2020,9078.0,61.6,1.01,23.3,88.8,5.8
Haití,1990,1617.0,61.6,-3.76,100.7,58.7,5.8
Haití,1991,1615.0,61.6,-3.72,98.0,58.7,5.8
Haití,1992,1500.0,61.6,-3.67,95.3,58.7,5.8
Haití,1993,1391.0,61.6,-3.62,92.6,58.7,5.8
Haití,1994,1202.0,61.6,-3.58,90.5,58.7,5.8
Haití,1995,1296.0,61.6,-3.55,87.2,58.7,5.8
Haití,1996,1325.0,61.6,-3.52,84.5,58.7,5.8
Haití,1997,1336.0,61.6,-3.47,81.7,58.7,5.8
Haití,1998,1341.0,61.6,-3.4,79.3,58.7,5.8
Haití,1999,1352.0,61.6,-3.32,76.7,58.7,5.8
Haití,2000,1339.0,61.6,-3.24,74.4,58.7,5.8
Haití,2001,1311.0,61.6,-3.15,72.2,58.7,5.8
Haití,2002,1302.0,61.6,-3.07,70.2,58.7,5.8
Haití,2003,1324.0,61.6,-3.01,68.4,58.7,5.8
Haití,2004,1285.0,61.6,-2.94,70.7,48.7,5.8
Haití,2005,1302.0,61.6,-2.88,65.2,48.7,5.8
Haití,2006,1303.0,61.6,-2.87,63.8,48.7,5.8
Haití,2007,1342.0,61.6,-2.86,62.6,61.7,5.8
Haití,2008,1356.0,61.6,-2.88,61.4,61.7,5.8
Haití,2009,1413.0,61.6,-2.87,59.9,61.7,5.8
Haití,2010,1318.0,61.6,-2.88,75.9,61.7,5.8
Haití,2011,1369.0,61.6,-2.91,58.3,61.7,5.8
Haití,2012,1355.0,61.6,-2.93,56.7,61.7,5.8
Haití,2013,1393.0,61.6,-2.95,55.3,61.7,5.8
Haití,2014,1396.0,61.6,-3.01,54.1,61.7,5.8
Haití,2015,1412.0,61.6,-3.09,52.8,61.7,5.8
Haití,2016,1417.0,61.6,-3.16,51.8,61.7,5.8
Haití,2017,1433.0,61.6,-3.19,50.2,80.0,5.8
Haití,2018,1437.0,61.6,-3.17,48.9,80.0,5.8
Haití,2019,1394.0,61.6,-3.1,47.8,80.0,5.8
Haití,2020,1330.0,61.6,-2.99,46.7,80.0,5.8
Honduras,1990,1709.0,61.6,-3.03,45.5,80.0,5.8
Honduras,1991,1716.0,61.6,-2.98,43.6,80.0,5.8
Honduras,1992,1762.0,61.6,-2.91,41.7,80.0,5.8
Honduras,1993,1820.0,61.6,-2.83,40.8,80.0,5.8
Honduras,1994,1747.0,61.6,-2.69,38.8,80.0,5.8
Honduras,1995,1768.0,61.6,-2.53,37.0,80.0,5.8
Honduras,1996,1781.0,61.6,-2.35,35.5,80.0,5.8
Honduras,1997,1819.0,61.6,-2.17,34.1,80.0,5.8
Honduras,1998,1823.0,61.6,-2.0,41.0,80.0,5.8
Honduras,1999,1742.0,61.6,-1.81,31.4,80.0,5.8
Honduras,2000,1793.0,61.6,-1.61,30.0,80.0,5.8
Honduras,2001,1793.0,61.6,-1.43,28.8,80.0,5.8
Honduras,2002,1812.0,57.8,-1.25,27.5,83.6,5.8
Honduras,2003,1846.0,57.8,-1.11,26.3,83.6,5.8
Honduras,2004,1913.0,57.8,-0.96,25.2,83.6,5.8
Honduras,2005,1981.0,60.3,-0.82,24.1,83.6,5.8
Honduras,2006,2061.0,61.1,-0.7,23.1,83.6,6.2
Honduras,2007,2139.0,61.1,-0.64,22.1,83.6,6.2
Honduras,2008,2181.0,61.1,-0.62,21.3,84.8,6.2
Honduras,2009,2083.0,61.1,-0.63,20.3,84.8,6.2
Honduras,2010,2116.0,61.4,-0.64,19.7,84.8,6.5
Honduras,2011,2154.0,59.1,-0.66,18.7,85.1,6.6
Honduras,2012,2199.0,58.5,-0.67,18.0,85.4,6.5
Honduras,2013,2218.0,61.2,-0.68,17.4,85.5,6.7
Honduras,2014,2244.0,61.7,-0.69,16.8,87.2,7.1
Honduras,2015,2289.0,62.2,-0.7,16.2,87.9,7.1
Honduras,2016,2336.0,61.6,-0.71,15.7,89.0,7.4
Honduras,2017,2407.0,65.3,-0.7,15.2,87.2,7.2
Honduras,2018,2457.0,65.3,-0.69,14.6,87.2,7.2
Honduras,2019,2480.0,62.2,-0.66,14.2,88.5,7.6
Honduras,2020,2221.0,61.8,-0.61,13.8,79.9,7.8
Jamaica,1990,5390.0,61.8,-10.85,25.1,79.9,7.8
Jamaica,1991,5390.0,61.8,-9.9,24.4,79.9,7.8
Jamaica,1992,5428.0,61.8,-9.17,23.7,79.9,7.8
Jamaica,1993,5480.0,61.8,-8.8,23.0,79.9,7.8
Jamaica,1994,5526.0,61.8,-8.4,22.3,79.9,7.8
Jamaica,1995,5605.0,61.8,-7.97,21.6,79.9,7.8
Jamaica,1996,5531.0,61.8,-7.59,20.9,79.9,7.8
Jamaica,1997,5393.0,61.8,-7.32,20.3,79.9,7.8
Jamaica,1998,5283.0,61.8,-7.2,19.7,79.9,7.8
Jamaica,1999,5295.0,61.8,-7.12,19.2,79.9,7.8
Jamaica,2000,5303.0,61.8,-7.06,18.6,87.6,7.8
Jamaica,2001,5344.0,61.8,-7.01,18.3,87.6,7.8
Jamaica,2002,5354.0,61.8,-6.96,17.8,87.6,7.8
Jamaica,2003,5523.0,61.8,-6.91,17.4,87.6,7.8
Jamaica,2004,5569.0,61.8,-6.83,17.1,87.6,7.8
Jamaica,2005,5592.0,61.8,-6.73,16.8,87.6,7.8
Jamaica,2006,5727.0,61.8,-6.61,16.5,87.6,7.8
Jamaica,2007,5785.0,61.8,-6.49,16.2,87.6,7.8
Jamaica,2008,5716.0,61.8,-6.32,16.0,87.6,7.8
Jamaica,2009,5446.0,61.8,-5.84,15.6,87.6,7.8
Jamaica,2010,5344.0,61.8,-5.2,15.2,87.6,7.8
Jamaica,2011,5412.0,61.8,-4.57,14.8,87.6,7.8
Jamaica,2012,5352.0,61.8,-4.16,14.4,87.6,7.8
Jamaica,2013,5354.0,61.8,-4.08,14.0,87.6,7.8
Jamaica,2014,5369.0,61.8,-4.06,13.6,87.6,7.8
Jamaica,2015,5399.0,61.8,-4.04,13.2,87.6,7.8
Jamaica,2016,5457.0,61.8,-4.04,12.8,87.6,7.8
Jamaica,2017,5500.0,61.8,-4.03,12.4,87.6,7.8
Jamaica,2018,5598.0,61.8,-4.02,12.2,87.6,7.8
Jamaica,2019,5644.0,61.8,-4.02,11.8,87.6,7.8
Jamaica,2020,5072.0,61.8,0.0,11.4,87.6,7.8
México,1990,7456.0,61.8,-3.5,36.3,87.6,7.8
México,1991,7619.0,61.8,-3.83,34.8,90.5,7.8
México,1992,7743.0,61.8,-3.51,33.3,90.5,7.8
México,1993,7743.0,61.8,-3.64,31.9,90.5,7.8
México,1994,7972.0,61.8,-3.13,30.5,90.5,7.8
México,1995,7333.0,61.8,-3.48,29.2,90.5,7.8
México,1996,7692.0,61.8,-3.5,27.9,90.5,7.8
México,1997,8078.0,61.8,-3.35,26.7,90.5,7.8
México,1998,8353.0,61.8,-3.19,25.6,90.5,7.8
México,1999,8443.0,61.8,-3.48,24.5,90.5,7.8
México,2000,8721.0,61.8,-3.63,23.4,90.5,7.8
México,2001,8553.0,62.2,-3.5,22.4,90.3,8.1
México,2002,8420.0,62.2,-3.21,21.5,90.3,8.1
México,2003,8416.0,62.0,-3.24,20.7,91.0,8.5
México,2004,8618.0,62.0,-2.6,19.9,91.0,8.5
México,2005,8692.0,65.2,-3.01,19.2,91.6,8.7
México,2006,8960.0,65.2,-2.92,18.5,91.7,8.7
México,2007,9046.0,61.1,-2.86,17.8,92.8,8.8
México,2008,9034.0,61.1,-2.93,17.2,92.9,8.8
México,2009,8451.0,59.8,-2.6,16.7,93.4,9.2
México,2010,8767.0,59.8,-0.37,16.1,93.1,9.2
México,2011,8959.0,62.2,0.04,15.6,93.5,9.3
México,2012,9157.0,62.2,-0.42,15.1,94.2,9.3
México,2013,9159.0,62.0,-0.87,14.6,94.0,9.5
México,2014,9304.0,62.0,-0.84,14.2,94.6,9.5
México,2015,9499.0,67.2,-0.68,13.7,94.5,9.6
México,2016,9639.0,67.2,0.27,13.3,94.9,9.6
México,2017,9737.0,67.5,-0.1,12.8,95.0,9.8
México,2018,9856.0,67.5,-0.8,12.4,95.4,9.8
México,2019,9752.0,65.4,-0.38,12.0,95.2,10.1
México,2020,8910.0,65.4,-0.08,11.6,95.2,10.1
Nicaragua,1990,1203.0,60.4,-5.73,57.2,76.7,5.7
Nicaragua,1991,1173.0,60.4,-5.54,53.4,76.7,5.7
Nicaragua,1992,1151.0,60.4,-5.44,49.9,76.7,5.7
Nicaragua,1993,1122.0,60.4,-5.31,46.6,76.7,5.7
Nicaragua,1994,1134.0,60.4,-5.34,43.5,76.7,5.7
Nicaragua,1995,1177.0,60.4,-5.47,40.6,76.7,5.7
Nicaragua,1996,1228.0,60.4,-7.29,38.5,76.7,5.7
Nicaragua,1997,1255.0,60.4,-7.5,36.5,76.7,5.7
Nicaragua,1998,1281.0,60.4,-7.66,37.1,76.7,5.7
Nicaragua,1999,1350.0,60.4,-7.91,32.8,76.7,5.7
Nicaragua,2000,1386.0,60.4,-8.18,31.1,76.7,5.7
Nicaragua,2001,1408.0,60.4,-8.41,29.6,76.7,5.7
Nicaragua,2002,1400.0,62.7,-8.5,28.2,78.0,6.3
Nicaragua,2003,1418.0,62.7,-8.41,26.9,78.0,6.3
Nicaragua,2004,1476.0,62.7,-8.18,25.7,78.0,6.3
Nicaragua,2005,1520.0,62.7,-6.08,24.6,78.0,6.3
Nicaragua,2006,1557.0,60.1,-5.82,23.5,82.6,6.7
Nicaragua,2007,1613.0,60.1,-5.58,22.6,82.6,6.7
Nicaragua,2008,1645.0,60.1,-5.38,21.6,82.6,6.7
Nicaragua,2009,1568.0,60.1,-5.17,20.7,82.6,6.7
Nicaragua,2010,1613.0,64.0,-4.95,20.0,82.6,7.5
Nicaragua,2011,1690.0,64.0,-4.74,19.1,82.6,7.5
Nicaragua,2012,1774.0,64.0,-4.53,18.4,82.6,7.5
Nicaragua,2013,1834.0,64.0,-4.34,17.7,82.6,7.5
Nicaragua,2014,1894.0,64.0,-4.11,16.9,82.6,7.5
Nicaragua,2015,1956.0,55.5,-3.86,16.3,82.6,9.9
Nicaragua,2016,2017.0,55.5,-3.61,15.7,88.8,9.9
Nicaragua,2017,2080.0,55.5,-3.37,15.1,88.8,9.9
Nicaragua,2018,1982.0,55.5,-3.15,14.5,88.8,9.9
Nicaragua,2019,1898.0,55.5,-2.96,14.0,88.8,9.9
Nicaragua,2020,1840.0,55.5,-1.54,13.5,88.8,9.9
Panamá,1990,5684.0,55.5,-0.35,27.9,88.8,9.9
Panamá,1991,6090.0,55.5,-0.12,27.3,91.9,9.9
Panamá,1992,6455.0,55.5,0.07,26.6,91.9,9.9
Panamá,1993,6668.0,55.5,0.22,25.9,91.9,9.9
Panamá,1994,6720.0,55.5,0.34,25.3,91.9,9.9
Panamá,1995,6700.0,55.5,0.45,24.7,91.9,9.9
Panamá,1996,6750.0,55.5,0.55,24.1,91.9,9.9
Panamá,1997,7043.0,55.5,0.64,23.6,91.9,9.9
Panamá,1998,7410.0,55.5,0.72,23.0,91.9,9.9
Panamá,1999,7549.0,55.5,0.8,22.5,91.9,9.9
Panamá,2000,7602.0,55.5,0.87,21.9,91.9,9.9
Panamá,2001,7498.0,55.1,0.93,21.4,94.1,9.4
Panamá,2002,7518.0,57.4,0.99,20.9,94.1,9.5
Panamá,2003,7685.0,58.0,1.05,20.3,94.1,9.6
Panamá,2004,8105.0,59.4,1.11,19.8,94.1,9.8
Panamá,2005,8524.0,61.0,1.16,19.1,94.1,9.8
Panamá,2006,9078.0,61.0,1.21,18.6,94.1,9.8
Panamá,2007,9991.0,63.1,1.26,18.1,94.1,9.9
Panamá,2008,10776.0,64.7,1.31,17.7,94.1,10.1
Panamá,2009,10714.0,64.7,1.34,17.2,94.1,10.1
Panamá,2010,11137.0,64.1,1.37,16.9,94.1,10.5
Panamá,2011,12178.0,64.1,1.4,16.5,95.4,10.5
Panamá,2012,13133.0,66.1,1.45,16.1,95.4,10.5
Panamá,2013,13795.0,66.1,1.55,15.8,95.4,10.5
Panamá,2014,14243.0,66.1,1.83,15.4,95.4,10.7
Panamá,2015,14800.0,66.5,2.19,15.1,95.4,10.8
Panamá,2016,15266.0,66.4,2.51,14.7,95.4,10.9
Panamá,2017,15846.0,66.4,2.7,14.3,95.4,10.9
Panamá,2018,16156.0,68.0,2.68,14.0,95.4,10.8
Panamá,2019,16421.0,67.3,2.51,13.7,95.7,11.0
Panamá,2020,13325.0,66.4,1.27,13.4,90.3,7.3
Paraguay,1990,4017.0,66.4,-1.15,36.3,90.3,7.3
Paraguay,1991,4008.0,66.4,-1.3,35.1,90.3,7.3
Paraguay,1992,3972.0,66.4,-1.41,34.0,90.3,7.3
Paraguay,1993,4065.0,66.4,-1.47,32.9,94.6,7.3
Paraguay,1994,4177.0,66.4,-1.55,31.9,94.6,7.3
Paraguay,1995,4357.0,66.4,-1.66,31.0,94.6,7.3
Paraguay,1996,4324.0,66.4,-1.75,30.2,94.6,7.3
Paraguay,1997,4408.0,66.4,-1.8,29.5,94.6,7.3
Paraguay,1998,4317.0,66.4,-1.88,29.0,94.6,7.3
Paraguay,1999,4171.0,66.4,-2.26,28.2,94.6,7.3
Paraguay,2000,3996.0,66.4,-3.1,27.6,94.6,7.3
Paraguay,2001,3896.0,66.4,-5.3,27.1,94.6,7.3
Paraguay,2002,3840.0,64.6,-6.96,26.5,94.6,7.3
Paraguay,2003,3956.0,65.5,-7.43,25.9,94.6,7.8
Paraguay,2004,4069.0,69.0,-7.53,25.3,94.6,7.7
Paraguay,2005,4110.0,69.3,-7.67,24.7,94.6,8.2
Paraguay,2006,4262.0,66.7,-8.02,24.1,94.6,8.2
Paraguay,2007,4449.0,68.1,-8.18,23.5,94.6,8.2
Paraguay,2008,4692.0,68.7,-7.88,22.9,93.3,8.5
Paraguay,2009,4632.0,69.0,-7.01,22.3,93.8,8.7
Paraguay,2010,5087.0,68.1,-4.53,21.7,93.9,8.6
Paraguay,2011,5237.0,68.4,-3.49,21.1,94.2,9.1
Paraguay,2012,5130.0,71.7,-2.99,20.4,95.1,8.9
Paraguay,2013,5480.0,70.7,-2.87,19.8,95.0,9.4
Paraguay,2014,5689.0,68.5,-2.79,19.2,95.6,9.5
Paraguay,2015,5775.0,68.7,-2.72,18.6,94.7,9.7
Paraguay,2016,5936.0,69.5,-2.67,18.1,94.0,9.5
Paraguay,2017,6135.0,69.9,-2.61,17.5,93.2,9.6
Paraguay,2018,6245.0,70.7,-2.55,16.9,94.5,9.7
